"game_half","posteam","qtr","down","time","yrdln","ydstogo","yards_gained","play_type","shotgun","no_huddle","pass_length","pass_location","run_location","run_gap","field_goal_result","kick_distance","extra_point_result","two_point_conv_result","timeout_team","td_team","posteam_timeouts_remaining","defteam_timeouts_remaining","half_seconds_remaining","game_seconds_remaining","return_yards","penalty_team","safety","fumble_lost","interception","sack","penalty_player_name","success","pass","rush","aborted_play","total_home_score","total_away_score","posteam_score","defteam_score","score_differential","personnel","opponent_personnel","pre-formation","post-formation","motion"
"Half1","PIT",1,3,"00:19","-34",3,3,"pass",1,0,"short","left",NA,NA,NA,NA,NA,NA,NA,NA,2,2,919,2719,0,NA,0,0,0,0,NA,1,1,0,0,3,3,3,3,0,"4-2 Nickel","11","Cover 2","","14 Pickens"
"Half1","PIT",2,1,"15:00","-31",10,-10,"run",0,0,NA,NA,"right","end",NA,NA,NA,NA,NA,NA,2,2,900,2700,0,NA,0,0,0,0,NA,0,0,1,0,3,3,3,3,0,"4-2 Nickel","11","Cover 3","Cover 2","83 Heyward"
"Half1","PIT",2,2,"14:16","-41",20,3,"run",1,0,NA,NA,"right","end",NA,NA,NA,NA,NA,NA,2,2,856,2656,0,NA,0,0,0,0,NA,0,0,1,0,3,3,3,3,0,"4-2 Nickel","11","Cover 2","Cover 2 WLB Blitz","Yes"
"Half1","PIT",2,3,"13:35","-38",17,5,"run",1,0,NA,NA,"right","end",NA,NA,NA,NA,NA,NA,2,2,815,2615,0,NA,0,0,0,0,NA,1,0,1,0,3,3,3,3,0,"6-0 Nickel","11","Cover 2 Man Blitz","Cover 2 Zone","11 Jefferson"
"Half1","PIT",2,4,"12:58","-33",12,0,"field_goal",0,0,NA,NA,NA,NA,"made",51,NA,NA,NA,NA,2,2,778,2578,0,NA,0,0,0,0,NA,1,0,0,0,3,6,3,3,0,"Field Goal Block","Field Goal","","",""
"Half1","ATL",2,NA,"12:54","35",0,0,"kickoff",0,0,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,2,2,774,2574,27,NA,0,0,0,0,NA,1,0,0,0,3,6,3,6,-3,"Kickoff Return","Kickoff","","",""
"Half1","ATL",2,1,"12:47","-28",10,7,"pass",1,0,"short","middle",NA,NA,NA,NA,NA,NA,NA,NA,2,2,767,2567,0,NA,0,0,0,0,NA,1,1,0,0,3,6,3,6,-3,"12","5-2","Pistol Double Wing","Pistol Ace","8 Pitts"
"Half1","ATL",2,2,"12:03","-35",3,4,"run",1,0,NA,NA,"left","end",NA,NA,NA,NA,NA,NA,2,2,723,2523,0,NA,0,0,0,0,NA,1,0,1,0,3,6,3,6,-3,"12","5-2","Pistol Trips","Pistol Ace","5 London"
"Half1","ATL",2,1,"11:25","-39",10,3,"run",1,0,NA,NA,"left","tackle",NA,NA,NA,NA,NA,NA,2,2,685,2485,0,NA,0,0,0,0,NA,0,0,1,0,3,6,3,6,-3,"12","5-1","Pistol Spread","Pistol Bunch","89 Woerner"
"Half1","ATL",2,2,"10:48","-42",7,8,"pass",1,0,"short","left",NA,NA,NA,NA,NA,NA,NA,NA,2,2,648,2448,0,NA,0,0,0,0,NA,1,1,0,0,3,6,3,6,-3,"12","4-2 Nickel","Shotgun Trips","Shotgun Ace","89 Woerner"
"Half1","ATL",2,1,"10:01","50",10,0,"pass",1,0,"short","left",NA,NA,NA,NA,NA,NA,NA,NA,2,2,601,2401,0,NA,0,0,0,0,NA,0,1,0,0,3,6,3,6,-3,"12","4-2 Nickel","Shotgun Ace","Shotgun Ace","89 Woerner"
"Half1","ATL",2,2,"09:57","50",10,0,"run",1,0,NA,NA,"middle",NA,NA,NA,NA,NA,NA,NA,2,2,597,2397,0,NA,0,0,0,0,NA,0,0,1,0,3,6,3,6,-3,"11","4-2 Nickel","Pistol Trips","Pistol Trips","1 Mooney"
"Half1","ATL",2,3,"09:16","50",10,0,"pass",1,0,"deep","left",NA,NA,NA,NA,NA,NA,NA,NA,2,2,556,2356,0,NA,0,0,0,0,NA,0,1,0,0,3,6,3,6,-3,"11","4-1 Nickel","Empty","Shotgun Trips","7 Robinson"
"Half1","ATL",2,4,"09:11","50",10,0,"punt",0,0,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,2,2,551,2351,13,NA,0,0,0,0,NA,0,0,0,0,3,6,3,6,-3,"Punt","Punt Return","","",""
"Half1","PIT",2,1,"08:58","22",10,9,"pass",0,0,"short","right",NA,NA,NA,NA,NA,NA,NA,NA,2,2,538,2338,0,NA,0,0,0,0,NA,1,1,0,0,3,6,6,3,3,"5-2","12","Cover 6","Cover 1 Blitz",""
"Half1","PIT",2,2,"08:26","31",1,2,"run",0,1,NA,NA,"right","end",NA,NA,NA,NA,NA,NA,2,2,506,2306,0,NA,0,0,0,0,NA,0,0,1,0,3,6,6,3,3,"5-2","13","Cover 4","","81 Pruitt"
"Half1","PIT",2,1,"07:58","33",10,5,"run",1,1,NA,NA,"left","guard",NA,NA,NA,NA,NA,NA,2,2,478,2278,0,NA,0,0,0,0,NA,1,1,0,0,3,6,6,3,3,"5-2","13","Cover 6","",""
"Half1","PIT",2,2,"07:23","38",5,4,"run",0,0,NA,NA,"right","tackle",NA,NA,NA,NA,NA,NA,2,2,443,2243,0,NA,0,0,0,0,NA,1,0,1,0,3,6,6,3,3,"4-2 Nickel","11","Cover 2","Cover 6",""
"Half1","PIT",2,3,"06:47","42",1,3,"run",0,0,NA,NA,"right","guard",NA,NA,NA,NA,NA,NA,2,2,407,2207,0,NA,0,0,0,0,NA,1,0,1,0,3,6,6,3,3,"5-2","13","Cover 3","",""
"Half1","PIT",2,1,"06:08","45",10,2,"pass",1,0,"short","right",NA,NA,NA,NA,NA,NA,NA,NA,2,2,368,2168,0,NA,0,0,0,0,NA,0,1,0,0,3,6,6,3,3,"4-2 Nickel","11","Cover 2","Cover 3",""
"Half1","PIT",2,2,"05:38","47",8,0,"no_play",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,338,2138,0,"0",0,0,0,0,"V.Jefferson",0,0,0,0,3,6,6,3,3,"4-2 Nickel","11","Cover 3","",""
"Half1","PIT",2,2,"05:31","42",13,4,"pass",1,0,"short","left",NA,NA,NA,NA,NA,NA,NA,NA,2,2,331,2131,0,NA,0,0,0,0,NA,0,1,0,0,3,6,6,3,3,"4-2 Nickel","11","Cover 2","","Yes"
"Half1","PIT",2,3,"05:01","46",9,0,"no_play",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,301,2101,0,"0",0,0,0,0,"G.Pickens",0,1,0,0,3,6,6,3,3,"5-1 Nickel","11","Cover 1 Man","Cover 1 Zone",""
"Half1","PIT",2,3,"04:36","36",19,9,"pass",1,0,"short","left",NA,NA,NA,NA,NA,NA,NA,NA,2,2,276,2076,0,NA,0,0,0,0,NA,0,1,0,0,3,6,6,3,3,"3-2 Dime","11","Cover 2","Cover 2",""
